VC,VB,VE,RC,VCE,IC,parte
12,0,0,2000,12,0,1.circuito 1
12,0,0,2000,12,0,1.circuito 2
0.09,0.64,0,2000,0.09,0.005955,1.circuito 3
1.3,1.9,1.2,2000,0.1,0.00535,2.a)
1.3,1.9,1.2,2000,0.1,0.00535,2.b).1)
1.3,1.9,1.2,2000,0.1,0.00535,2.b).2)
0.9,1.5,0.8,3000,0.1,0.0037,2.b).3)
2.2,3,2,1300,0.2,0.007538462,2.b).4)
1.7,1.4,1.6,2000,0.1,0.00515,2.b).5)
0.68,1.3,0.6,2000,0.08,0.00566,2.b).6)
9,1.5,1,510,8,0.005882353,3.a)
11,1.2,0.58,510,10.42,0.001960784,3.b).1)
7,2.4,1.8,510,5.2,0.009803922,3.b).2)
8,2.2,1.5,510,6.5,0.007843137,3.b).3)
11,1.2,0.58,510,10.42,0.001960784,3.b).4)
2.8,3.2,2.6,750,0.2,0.012266667,3.b).5)
6,3.8,3.2,360,2.8,0.016666667,3.b).6)
12,1.7,1.1,510,10.9,0,4) RP=1kOhm
11,1.7,1.1,510,9.9,0.001960784,4) RP=0.5kOhm
10,1.6,1,510,9,0.003921569,4) RP=1Ohm
